customer_name,monthly_gmv,login_days,ticket_usage_rate,marketing_usage_rate,employee_count,renewal_days_left,complaint_count,industry,region
康健医疗集团,45000,3,12,8,350,-45,12,医疗健康,华北
博雅教育,25000,6,20,15,30,-20,8,教育培训,华中
仁和医疗,38000,5,15,10,80,-60,15,医疗健康,西南
绿城房产,65000,8,30,25,80,-10,7,房地产,西南
华康医疗,55000,7,18,12,120,-30,10,医疗健康,华中
利达教育,35000,9,25,20,40,-15,6,教育培训,西北
瑞金医疗,32000,4,10,8,60,-70,18,医疗健康,东北
华庭房产,45000,7,28,22,100,-25,8,房地产,西北
鼎鑫精密,55000,8,30,22,200,-20,7,制造业,华中
宏远物流,48000,6,25,18,180,-15,9,物流运输,西北
万嘉房产,120000,15,55,45,150,30,5,房地产,华北
顺捷物流,95000,16,60,55,500,-10,5,物流运输,华东
新华教育,42000,12,40,35,60,-30,4,教育培训,华北
宏业机械,62000,13,38,32,150,-20,4,制造业,东北
龙湖房产,95000,13,48,42,180,-15,4,房地产,华东
金帝制造,120000,12,50,55,600,-15,4,制造业,华南
明德教育科技,85000,18,65,55,120,25,2,教育培训,华东
云智科技,95000,20,78,72,80,60,2,互联网/科技,华南
鼎新制造,75000,14,45,50,400,30,3,制造业,华中
恒通金融,350000,25,90,82,500,200,1,金融,华东
瑞丰精密制造,180000,22,75,68,800,90,3,制造业,华南
天宇零售,320000,25,85,80,1500,160,0,零售业,华东
智达金融,280000,24,88,85,400,130,1,金融,华北
创想科技,78000,18,72,68,50,55,2,互联网/科技,华中
银海制造,65000,15,52,48,250,40,2,制造业,东北
和泰金融,95000,17,65,60,180,50,2,金融,华中
迅捷物流,150000,21,75,70,600,85,1,物流运输,华南
华盛科技,580000,28,92,88,1200,180,1,互联网/科技,华东
捷运国际物流,420000,26,88,85,2000,150,0,物流运输,华南
北斗科技,220000,27,95,90,600,210,0,互联网/科技,华北
锐思科技,180000,23,85,80,300,95,1,互联网/科技,华东
华润万家零售,280000,24,82,78,3000,120,1,零售业,华东
云帆科技,520000,28,92,90,800,240,0,互联网/科技,华南
百盛零售,250000,22,78,72,1200,100,1,零售业,华南
中联科技,380000,26,90,85,1000,180,0,互联网/科技,华东
